city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Madrid,Goya,Salamanca,40.42467994050796,-3.677700132086735,Entire home/apt,Entire rental unit,6,1.0,2.0,3.0,198.0,33.0,False,1,365,108,23,4.65,4.91,3.07,True,True,2,2023-11-14,2025-02-02,2025-08-30
Madrid,El Plantío,Moncloa - Aravaca,40.47327,-3.83206,Private room,Private room in home,1,0.5,1.0,1.0,39.0,39.0,False,1,365,89,0,,,,False,False,2,2015-01-13,,
Madrid,Cortes,Centro,40.41181779263181,-3.69764498597716,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,93.0,31.0,True,31,365,302,5,4.6,5.0,0.75,False,True,25,2016-11-30,2025-03-01,2025-08-18
Madrid,Aguilas,Latina,40.374373403331205,-3.77149618702786,Private room,Private room in rental unit,2,0.5,1.0,1.0,31.0,15.5,False,1,365,87,1,1.0,2.0,0.16,False,False,1,2025-02-01,2025-03-17,2025-03-17
Madrid,Jerónimos,Retiro,40.40753,-3.68642,Entire home/apt,Entire condo,6,2.0,2.0,3.0,299.0,49.83,False,2,31,157,9,4.89,5.0,1.66,True,False,1,2016-07-05,2025-04-05,2025-08-30
Madrid,San Diego,Puente de Vallecas,40.38980035726869,-3.667067535947728,Entire home/apt,Entire rental unit,3,1.0,1.0,0.0,70.0,23.33,True,1,365,329,35,4.86,4.2,4.82,False,True,7,2015-12-23,2025-02-09,2025-08-25
Madrid,Rios Rosas,Chamberí,40.44517,-3.70204,Entire home/apt,Entire rental unit,5,2.0,3.0,3.0,381.0,76.2,False,30,365,72,2,5.0,5.0,0.28,False,False,1,2025-02-01,2025-02-10,2025-02-11
Madrid,Puerta del Angel,Latina,40.41055,-3.73484,Private room,Private room in home,1,1.0,1.0,1.0,29.0,29.0,False,4,365,81,7,4.29,4.71,1.02,False,False,4,2018-10-02,2025-02-21,2025-06-22
Madrid,Almagro,Chamberí,40.43074,-3.69566,Entire home/apt,Entire rental unit,8,3.0,4.0,4.0,427.0,53.38,True,1,365,350,0,,,,False,False,407,2021-12-30,,
Madrid,Aluche,Latina,40.39446,-3.74283,Private room,Private room in home,2,1.0,1.0,1.0,56.0,28.0,True,3,365,301,13,5.0,4.69,4.87,False,True,5,2024-11-07,2025-06-27,2025-09-12
Madrid,Prosperidad,Chamartín,40.44496,-3.67187,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,72.0,36.0,True,30,365,335,4,5.0,5.0,0.62,True,False,6,2015-07-27,2025-03-06,2025-07-01
Madrid,San Diego,Puente de Vallecas,40.38999239869614,-3.666037091287584,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,66.0,33.0,True,2,365,341,37,4.65,3.86,5.09,False,True,7,2015-12-23,2025-02-09,2025-09-05
