city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Sevilla,La Florida,Nervión,37.3884624055392,-5.984431295994345,Entire home/apt,Entire home,10,4.0,5.0,7.0,562.0,56.2,True,1,1125,246,48,4.88,4.96,1.94,True,False,42,2017-09-12,2023-09-21,2025-09-21
Sevilla,La Buhaira,Nervión,37.38667358152557,-5.971781024798201,Entire home/apt,Entire rental unit,4,1.0,2.0,4.0,143.0,35.75,True,1,365,294,7,4.29,4.14,0.29,False,True,126,2018-01-29,2023-10-08,2024-09-03
Sevilla,San Vicente,Casco Antiguo,37.3950144,-6.0020566,Entire home/apt,Entire rental unit,8,2.5,3.0,6.0,5130.0,641.25,True,1,365,220,37,4.76,4.78,1.47,True,True,205,2014-05-01,2023-09-09,2024-07-08
Sevilla,San Vicente,Casco Antiguo,37.39504502411959,-6.002052252935406,Entire home/apt,Entire rental unit,5,2.0,2.0,4.0,170.0,34.0,False,1,365,42,61,4.79,4.84,2.41,True,True,205,2014-05-01,2023-09-03,2025-08-15
Sevilla,Feria,Casco Antiguo,37.39659,-5.99164,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,68.0,34.0,False,61,120,129,3,5.0,5.0,0.27,True,False,1,2015-05-10,2024-10-29,2025-07-30
Sevilla,San Lorenzo,Casco Antiguo,37.4025036,-5.994887299999999,Entire home/apt,Entire rental unit,8,2.0,3.0,3.0,125.0,15.62,True,2,365,251,16,4.19,4.81,0.64,False,True,29,2020-06-19,2023-09-16,2025-04-23
Sevilla,Triana Este,Triana,37.37956975968313,-6.000723317878562,Entire home/apt,Entire rental unit,2,1.0,0.0,1.0,63.0,31.5,True,2,365,305,144,4.63,4.85,5.6,False,True,4,2017-03-20,2023-08-21,2025-09-22
Sevilla,Arenal,Casco Antiguo,37.3851028,-5.9960135,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,103.0,25.75,True,1,365,267,42,4.79,4.93,1.68,False,True,54,2018-08-15,2023-09-12,2025-07-23
Sevilla,San Bartolomé,Casco Antiguo,37.38822091796852,-5.986683395705399,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,123.0,41.0,True,2,365,307,20,4.1,4.35,0.78,False,True,48,2019-08-21,2023-08-24,2025-07-30
Sevilla,San Julián,Casco Antiguo,37.3991183,-5.987159900000001,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,103.0,34.33,True,1,60,215,47,4.81,4.85,1.9,False,True,1,2025-05-02,2023-09-18,2025-09-04
Sevilla,Santa Cruz,Casco Antiguo,37.38541,-5.99116,Entire home/apt,Entire rental unit,6,2.0,3.0,5.0,198.0,33.0,True,3,365,194,23,4.78,5.0,0.95,False,True,24,2011-07-24,2023-10-03,2025-06-01
Sevilla,"Cruz Roja, Capuchinos",Macarena,37.399321731351854,-5.980396782556158,Entire home/apt,Entire rental unit,6,1.5,2.0,4.0,109.0,18.17,True,2,365,271,121,4.87,4.69,4.93,True,True,2,2015-12-29,2023-09-26,2025-09-24
Sevilla,Santa Cruz,Casco Antiguo,37.38774,-5.993729999999999,Entire home/apt,Entire rental unit,6,2.0,2.0,3.0,163.0,27.17,False,1,365,99,39,4.77,4.95,1.91,False,True,1,2021-11-30,2024-01-28,2025-09-18
Sevilla,Alfalfa,Casco Antiguo,37.38947,-5.99027,Entire home/apt,Entire home,4,1.0,2.0,2.0,160.0,40.0,True,2,60,346,95,4.87,4.97,3.87,True,True,4,2013-09-05,2023-09-25,2025-09-19
Sevilla,San Pablo A y B,San Pablo - Santa Justa,37.3949570411834,-5.96744466573,Entire home/apt,Entire rental unit,5,1.0,2.0,4.0,93.0,18.6,False,2,1125,160,85,4.75,4.31,3.39,False,False,1,2015-05-22,2023-09-10,2025-09-08
Sevilla,Feria,Casco Antiguo,37.39607,-5.99461,Private room,Private room in casa particular,2,1.0,1.0,1.0,62.0,31.0,False,2,60,151,46,4.52,4.85,1.86,False,False,3,2015-07-29,2023-09-20,2025-09-22
Sevilla,"Encarnación, Regina",Casco Antiguo,37.39422,-5.98846,Entire home/apt,Entire rental unit,5,2.0,3.0,4.0,180.0,36.0,True,1,365,355,7,3.43,4.86,0.27,False,True,8,2019-03-26,2023-08-27,2024-11-16
Sevilla,"Encarnación, Regina",Casco Antiguo,37.392593758789616,-5.990457478302241,Entire home/apt,Entire rental unit,6,2.5,3.0,5.0,228.0,38.0,False,4,365,0,18,4.89,5.0,0.72,False,True,18,2020-03-04,2023-09-17,2025-05-23
Sevilla,Alfalfa,Casco Antiguo,37.39128189309756,-5.991748161613941,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,128.0,64.0,False,2,365,149,50,4.9,5.0,2.13,True,True,8,2015-02-07,2023-10-29,2025-09-22
Sevilla,Feria,Casco Antiguo,37.39724,-5.98843,Private room,Private room in rental unit,2,1.0,1.0,1.0,51.0,25.5,True,1,365,324,3,4.67,5.0,0.16,False,True,1,2019-01-29,2024-03-25,2024-06-02
Sevilla,San Bartolomé,Casco Antiguo,37.38942224583963,-5.987921101421298,Entire home/apt,Entire rental unit,4,2.0,2.0,4.0,108.0,27.0,True,2,365,221,90,4.53,4.87,3.62,False,True,28,2014-05-12,2023-09-17,2025-09-08
Sevilla,Santa Cruz,Casco Antiguo,37.3854,-5.9897333,Private room,Private room in hostel,2,1.0,13.0,1.0,104.0,52.0,True,1,365,200,40,4.78,4.9,2.17,False,True,17,2023-08-22,2024-03-27,2025-08-31
Sevilla,Barrio León,Triana,37.3786265,-6.0112168,Entire home/apt,Entire rental unit,6,2.0,3.0,5.0,130.0,21.67,True,2,365,312,19,4.11,4.11,0.77,False,True,48,2019-08-21,2023-09-24,2025-09-05
